metric,arm,n,mean,ci_lo,ci_hi,wilcoxon_p
similarity,closed_book,60,0.6463464975357056,0.625475783397754,0.670406164949139,1.317841958320611e-09
similarity,rag_small,60,0.7983154912789663,0.7737454481671254,0.8227881972243388,1.317841958320611e-09
correctness,closed_book,60,1.5166666666666666,1.2333333333333334,1.85,1.103117225844906e-08
correctness,rag_small,60,3.6666666666666665,3.3,4.017083333333328,1.103117225844906e-08
faithfulness,closed_book,60,4.466666666666667,4.133333333333334,4.8,0.019630657257290667
faithfulness,rag_small,60,4.933333333333334,4.8,5.0,0.019630657257290667
completeness,closed_book,60,1.45,1.1833333333333333,1.7666666666666666,2.700486411934982e-08
completeness,rag_small,60,3.066666666666667,2.7666666666666666,3.35,2.700486411934982e-08
conciseness,closed_book,60,4.7,4.466666666666667,4.9,0.24169622149601777
conciseness,rag_small,60,4.833333333333333,4.716666666666667,4.933333333333334,0.24169622149601777
